,epoch (ms),acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,2019-01-14 13:57:39.200,-0.1133333333333333,0.9653333333333332,0.0783333333333333,8.9878,-6.0854,0.5975999999999999
1,2019-01-14 13:57:39.400,-0.122,0.9445,0.051,-2.5976,-4.6342,-8.8536
2,2019-01-14 13:57:39.600,-0.17,0.8743333333333334,0.0526666666666666,-4.3292,-5.6218,-34.8414
3,2019-01-14 13:57:39.800,-0.2615,0.8685,0.079,4.8782,-7.7074,-35.7928
4,2019-01-14 13:57:40.000,-0.361,0.844,0.053,10.8536,-9.6828,-22.6342
5,2019-01-14 13:57:40.200,-0.4175,0.8180000000000001,0.037,8.1584,-13.024200000000002,-7.756399999999999
6,2019-01-14 13:57:40.400,-0.4186666666666667,0.8326666666666668,0.054,1.4268,-20.744,20.305
7,2019-01-14 13:57:40.600,-0.3675,0.951,0.139,-22.2562,-29.6098,49.5854
8,2019-01-14 13:57:40.800,-0.1626666666666666,1.011,0.2436666666666666,-19.6462,-31.5976,59.6952
9,2019-01-14 13:57:41.000,-0.0025,1.077,,-27.8538,-12.2318,27.4756
10,2019-01-14 13:57:41.200,0.0833333333333333,1.031,0.3476666666666666,40.7196,-16.2072,-12.4144
11,2019-01-14 13:57:41.400,0.057,0.8815,0.234,17.3048,-7.183,-13.085400000000002
12,2019-01-14 13:57:41.600,0.0583333333333333,0.9776666666666666,0.1169999999999999,18.2806,-23.6462,4.0366
13,2019-01-14 13:57:41.800,-0.137,1.4954999999999998,0.217,33.9146,14.6462,
14,2019-01-14 13:57:42.000,-0.2886666666666667,0.899,0.0343333333333333,-17.9024,,-49.57299999999999
15,2019-01-14 13:57:42.200,-0.3585,0.781,-0.047,-24.195,38.9148,6.7074
16,2019-01-14 13:57:42.400,-0.3493333333333333,0.8323333333333333,-0.0079999999999999,-10.5854,12.1708,39.6708
17,2019-01-14 13:57:42.600,-0.184,0.8545,0.027,2.7072,8.8414,64.561
18,2019-01-14 13:57:42.800,-0.1433333333333333,0.793,-0.069,0.2074000000000001,3.8294,0.1948
19,2019-01-14 13:57:43.000,-0.092,1.006,0.015,1.7559999999999996,1.561,-3.8294
20,2019-01-14 13:57:43.200,-0.1173333333333333,0.975,-0.0076666666666666,2.3294,-4.1708,-8.683
21,2019-01-14 13:57:43.400,-0.141,0.8554999999999999,-0.0504999999999999,3.9998,-11.0612,-25.4878
22,2019-01-14 13:57:43.600,-0.2299999999999999,0.8696666666666667,-0.0366666666666666,1.1340000000000003,-0.6463999999999999,-35.2194
23,2019-01-14 13:57:43.800,-0.3245,0.8515,-0.0645,11.0244,-11.6954,-16.3294
24,2019-01-14 13:57:44.000,-0.314,0.793,-0.0873333333333333,19.0,-44.5364,12.7804
25,2019-01-14 13:57:44.200,-0.3475,0.955,0.084,-9.9266,-33.6586,40.9756
26,2019-01-14 13:57:44.400,-0.1403333333333333,1.01,0.0533333333333333,16.7804,-21.0486,62.4634
27,2019-01-14 13:57:44.600,0.021,1.1775000000000002,0.0025,-51.2562,-8.499799999999999,48.1218
28,2019-01-14 13:57:44.800,,1.092,0.1713333333333333,-7.2926,-12.3414,-2.5490000000000004
29,2019-01-14 13:57:45.000,,0.8500000000000001,0.173,12.5856,-26.3536,-6.8292
30,2019-01-14 13:57:45.200,0.1619999999999999,1.0185,0.1704999999999999,3.933,-1.128,-10.6095
31,2019-01-14 14:01:40.000,-0.037,-0.854,0.271,-31.817200000000003,-1.6829999999999998,-6.3660000000000005
32,2019-01-14 14:01:40.200,-0.0424999999999999,-0.884,0.174,-56.34159999999999,-8.3172,-9.9388
33,2019-01-14 14:01:40.400,-0.0083333333333333,-0.9676666666666668,0.0303333333333333,-31.438800000000004,-3.0732,0.9266
34,2019-01-14 14:01:40.600,-0.0185,-1.0465,-0.0424999999999999,-4.5244,-4.9632000000000005,1.3536
35,2019-01-14 14:01:40.800,-0.031,-1.098666666666667,-0.0623333333333333,7.7318,1.9634,4.4878
36,2019-01-14 14:01:41.000,-0.045,-1.2795,-0.092,11.4514,-2.8536,-0.2440000000000001
37,2019-01-14 14:01:41.200,-0.0006666666666666,-1.4613333333333334,-0.102,29.9266,-20.2682,-28.5734
38,2019-01-14 14:01:41.400,0.151,-1.223,0.0985,36.0732,-36.2928,-34.3414
39,2019-01-14 14:01:41.600,0.109,-0.354,0.1883333333333333,13.7928,-13.987799999999998,2.9026
40,2019-01-14 14:01:41.800,0.1634999999999999,-0.624,0.1745,-19.0732,17.683,21.6464
41,2019-01-14 14:01:42.000,0.1173333333333333,-1.1106666666666667,0.1333333333333333,-41.195,10.9024,23.4024
42,2019-01-14 14:01:42.200,0.0045,-1.0955,0.0069999999999999,-8.134,2.9878,11.817
43,2019-01-14 14:01:42.400,-0.0173333333333333,-1.2686666666666666,-0.038,7.9878,6.317,3.5
44,2019-01-14 14:01:42.600,0.0104999999999999,-1.5455,-0.0399999999999999,45.8416,-16.6952,-28.536400000000004
45,2019-01-14 14:01:42.800,0.135,-0.9403333333333334,0.1523333333333333,29.378,-25.5366,-5.1708
46,2019-01-14 14:01:43.000,0.018,-0.1595,0.1765,-8.549000000000001,-1.622,0.6950000000000003
47,2019-01-14 14:01:43.200,0.1256666666666666,-0.928,0.176,-40.7318,13.353799999999998,21.3658
48,2019-01-14 14:01:43.400,0.0495,-1.139,0.0355,-34.4754,5.9146,22.8904
49,2019-01-14 14:01:43.600,-0.0156666666666666,-1.1986666666666668,-0.0563333333333333,1.3537999999999997,7.3414,0.1341999999999999
50,2019-01-14 14:01:43.800,-0.0005,-1.4435,-0.0834999999999999,17.4878,10.6098,-13.512
51,2019-01-14 14:01:44.000,0.07,-1.308,0.017,52.6828,-21.4634,-34.5364
52,2019-01-14 14:01:44.200,0.166,-0.7364999999999999,0.201,8.0002,-20.4878,5.5122
53,2019-01-14 14:01:44.400,0.0696666666666666,-0.3383333333333333,0.1536666666666666,-9.6098,-0.3171999999999998,2.1950000000000003
54,2019-01-14 14:01:44.600,0.142,-1.105,0.1604999999999999,-40.3658,9.634,27.7318
55,2019-01-14 14:01:44.800,0.0513333333333333,-1.1496666666666666,-0.0093333333333333,-18.4512,7.2196,16.2316
56,2019-01-14 14:01:45.000,-0.0024999999999999,-1.2574999999999998,-0.0735,11.8414,2.0732,-3.3782
57,2019-01-14 14:01:45.200,0.05,-1.4573333333333334,-0.0386666666666666,38.4634,-13.2072,-30.1218
58,2019-01-14 14:01:45.400,0.2105,-1.144,0.1659999999999999,30.39,-11.6828,-8.9024
59,2019-01-14 14:01:45.600,0.0643333333333333,-0.399,0.1836666666666666,12.5852,-12.439,16.3414
60,2019-01-14 14:01:45.800,0.1105,-0.681,0.195,-22.6342,2.6708,-2.4634
61,2019-01-14 14:01:46.000,0.1163333333333333,-1.0996666666666666,0.1513333333333333,-47.927,7.073,22.0366
62,2019-01-14 14:01:46.200,0.02,-1.101,-0.018,-18.0488,2.8414,24.878
63,2019-01-14 14:01:46.400,-0.0533333333333333,-1.2943333333333331,-0.0699999999999999,14.365800000000002,0.3048,-1.9878
64,2019-01-14 14:01:46.600,-0.013,-1.4495,-0.075,40.5488,-17.2682,-25.0366
65,2019-01-14 14:01:46.800,0.1343333333333333,-1.115,0.1583333333333333,27.5,-11.4634,-25.7928
66,2019-01-14 14:01:47.000,0.088,-0.4745,0.181,1.5854,-9.939,8.6586
67,2019-01-14 14:01:47.200,0.1033333333333333,-0.6063333333333333,0.2056666666666666,-15.414600000000002,10.4878,11.5734
